REPO abp_monthly.csv, -0.969,0.825,-6.878,-0.429,0.348,0.364,0.582,0.932
REPO ABTestingGateway_monthly.csv, -7.802,0.709,-13.231,-1.705,0.605,0.72,0.72,0.72
REPO acat_monthly.csv, -0.514,-1.024,0.976,1.0,0.98,1.0,1.0,1.0
REPO adempiere_monthly.csv, 0.761,0.982,-0.058,0.743,0.972,0.387,0.949,0.672
REPO AdguardBrowserExtension_monthly.csv, -0.205,0.906,-2.533,-0.261,-0.49,0.36,0.781,0.592
REPO adminlte-laravel_monthly.csv, 0.111,0.532,0.197,1.0,0.956,0.779,0.975,0.975
REPO Aerial_monthly.csv, 0.088,-2.547,0.158,0.187,-0.261,-0.083,0.868,0.868
REPO ai-chatbot-framework_monthly.csv, -22.222,0.801,-2.171,1.0,0.982,1.0,1.0,1.0
REPO airgeddon_monthly.csv, -1.041,0.238,-2.147,-1.105,0.265,-0.034,-0.185,0.314
REPO akka-http_monthly.csv, -3.586,-2.336,-6.821,0.952,0.891,0.523,0.738,0.861
REPO ale_monthly.csv, 0.977,-8.051,-10.373,0.981,0.535,0.795,0.826,0.726
REPO Algorithms_monthly.csv, -143.0,0.675,-2.157,-0.231,0.674,1.0,0.21,0.21
REPO aliyun-openapi-java-sdk_monthly.csv, 0.075,0.085,0.566,0.215,-0.634,1.0,0.292,0.305
REPO all-contributors_monthly.csv, 0.136,0.986,0.27,0.717,0.816,1.0,0.934,1.0
REPO allure2_monthly.csv, 0.953,0.945,-0.456,-1.052,-10.892,0.188,0.458,0.458
REPO alpakka_monthly.csv, 0.41,0.806,-9.738,0.793,0.96,0.963,0.903,0.903
REPO alphalens_monthly.csv, 0.161,0.166,0.407,0.126,0.793,0.224,0.342,0.342
REPO altair_monthly.csv, -0.606,0.843,-1.113,0.303,0.88,-2.587,0.262,0.928
REPO amazon-dsstne_monthly.csv, 0.029,0.027,0.039,-0.364,0.03,0.029,0.032,0.034
REPO ambar_monthly.csv, -0.889,-3.903,-34.222,0.902,0.977,1.0,0.948,0.98
REPO amethyst_monthly.csv, 0.339,0.091,0.58,0.23,0.278,1.0,1.0,1.0
REPO Ammonite_monthly.csv, 0.928,-1.425,-0.26,-3.514,-2.448,-2.938,0.853,0.275
REPO amp-wp_monthly.csv, 0.76,0.627,-2.912,0.435,0.633,0.617,0.995,0.668
REPO analyze_monthly.csv, 1.0,1.0,0.45,1.0,1.0,1.0,1.0,1.0
REPO android-classyshark_monthly.csv, -0.412,0.837,-0.797,-0.538,-0.46,-0.241,0.681,0.681
REPO android-hidden-api_monthly.csv, 0.507,0.636,-0.929,0.331,0.488,-4.667,0.875,0.832
REPO Android-Image-Cropper_monthly.csv, 0.3,-0.051,-11.003,0.195,0.271,0.255,0.461,0.16
REPO android-oss_monthly.csv, -1.312,-1.392,-5.701,-1.349,-5.652,-2.077,-1.588,-1.23
REPO Android-Plugin-Framework_monthly.csv, -0.71,0.705,0.949,1.0,-0.147,-2.733,0.856,0.891
REPO Android-SpinKit_monthly.csv, -3.556,-1.315,-2.385,-0.577,-1.082,1.0,1.0,1.0
REPO android-youtube-player_monthly.csv, -7.251,0.578,-29.344,-0.898,-2.538,-1.769,-0.783,-0.783
REPO AndroidPicker_monthly.csv, -5.143,-0.094,-0.16,-0.096,-0.121,-0.132,0.126,-0.094
REPO AndroidTagView_monthly.csv, -176.333,0.359,-1.124,-16.882,-1.475,0.449,0.784,0.784
REPO androidtool-mac_monthly.csv, 0.183,-0.27,0.442,0.251,0.684,-7.4,0.595,0.092
REPO AndroidTVLauncher_monthly.csv, -7.039,-110.303,-3.729,-40.125,-3.709,-6.231,0.913,0.913
REPO AndroidVideoCache_monthly.csv, -9.483,0.357,-12.42,0.685,0.202,0.165,0.968,0.776
REPO angr_monthly.csv, 0.789,0.478,-3.192,0.341,0.422,0.296,0.516,0.49
REPO angular-calendar_monthly.csv, -0.984,-0.735,-1.406,-1.786,0.078,-8.0,0.639,0.752
REPO angular-seed-advanced_monthly.csv, 0.329,-0.274,-1453.05,-2.387,-1.878,0.553,-1.277,0.859
REPO angular_monthly.csv, 0.142,0.691,-2.201,-2.985,-14.279,-7.931,0.551,-0.333
REPO Animations_monthly.csv, -0.258,0.597,-3.463,1.0,0.586,1.0,1.0,1.0
REPO ann-benchmarks_monthly.csv, 0.869,0.984,-0.46,0.856,0.852,0.726,0.946,0.878
REPO ant-design-mobile_monthly.csv, 0.815,0.914,-0.723,0.982,0.999,0.919,1.0,0.996
REPO ant-motion_monthly.csv, -1.611,0.967,-17.157,-0.604,0.353,0.526,-3.008,0.25
REPO antd-admin_monthly.csv, 0.971,0.772,0.337,0.955,0.95,0.95,0.988,0.987
REPO Anti-Anti-Spider_monthly.csv, -1.636,0.233,-1.783,1.0,0.493,0.216,1.0,0.595
REPO anyRTC-RTMP-OpenSource_monthly.csv, -1.0,-0.328,-5.398,-2.333,-2.157,-1.857,0.963,0.405
REPO apiato_monthly.csv, -0.462,-3.314,-8.886,-2.343,-2.451,0.02,0.797,-0.53
REPO apify-js_monthly.csv, 0.892,0.311,-7.111,0.925,-0.218,-4.698,0.932,0.777
REPO APIJSON_monthly.csv, 0.239,0.85,-0.352,0.684,0.887,1.0,0.507,1.0
REPO ApiManager_monthly.csv, 0.65,0.744,0.937,1.0,0.982,1.0,1.0,1.0
