REPO abp_monthly.csv, 0.664,-17.406,-1.42,0.886,0.549,0.473,0.84,0.84
REPO ABTestingGateway_monthly.csv, -262.492,0.11,-59.631,-10.601,-2.293,-10.601,-0.404,-4.202
REPO acat_monthly.csv, 0.491,0.878,0.954,0.852,0.854,0.852,0.962,0.962
REPO adempiere_monthly.csv, -0.415,-0.317,0.371,-0.213,-0.042,-0.062,0.195,-0.03
REPO AdguardBrowserExtension_monthly.csv, 0.913,0.817,-9.723,0.766,0.817,0.766,0.986,0.986
REPO adminlte-laravel_monthly.csv, -9.728,0.002,-4.711,0.441,-0.075,0.376,0.726,0.732
REPO Aerial_monthly.csv, -1.222,0.592,0.761,0.536,0.95,0.765,0.998,0.997
REPO ai-chatbot-framework_monthly.csv, 0.238,0.936,-14.305,0.752,0.802,0.955,0.991,0.885
REPO airgeddon_monthly.csv, 0.981,0.561,-8.976,0.36,0.426,0.28,0.949,0.949
REPO akka-http_monthly.csv, -1.403,-3.847,-7.975,-7.078,-14.294,-4.943,-3.314,-3.314
REPO ale_monthly.csv, -3.028,0.815,-81.49,-0.786,0.875,0.853,0.741,0.915
REPO Algorithms_monthly.csv, -14.034,0.533,-203.107,-9.281,-6.2,-7.905,-4.844,-4.844
REPO aliyun-openapi-java-sdk_monthly.csv, 0.023,-0.023,0.055,0.014,0.013,0.012,0.024,0.016
REPO all-contributors_monthly.csv, -0.181,-0.049,-0.8,-0.164,-0.134,-0.146,-0.1,-0.1
REPO allure2_monthly.csv, -2.442,0.811,-16.8,-8.983,-4.014,-6.532,-5.684,-4.82
REPO alpakka_monthly.csv, -4.719,-4.421,-3.08,-0.813,-1.701,-1.214,-2.549,-1.214
REPO alphalens_monthly.csv, -5.87,-6.2,-31.5,-16.011,-1.111,-0.201,-4.341,-2.269
REPO altair_monthly.csv, -0.22,0.045,0.3,0.341,-0.375,-0.306,0.878,0.878
REPO amazon-dsstne_monthly.csv, 0.934,0.426,0.969,0.891,0.955,0.876,0.991,1.0
REPO ambar_monthly.csv, -32.484,-9.509,-14.369,-2.143,-0.964,-1.081,-0.825,-7.587
REPO amethyst_monthly.csv, -1.31,-0.704,-1.535,-10.286,-0.004,0.914,0.914,0.723
REPO Ammonite_monthly.csv, -0.088,0.367,-1.433,-0.057,-9.535,-1.237,-0.888,-1.61
REPO amp-wp_monthly.csv, 0.232,0.42,-0.149,0.333,0.02,0.478,0.918,0.918
REPO analyze_monthly.csv, 0.352,0.933,-0.668,0.666,0.825,0.834,0.699,0.834
REPO android-classyshark_monthly.csv, -6.247,0.462,-17.137,-5.32,-1.321,0.408,0.506,0.783
REPO android-hidden-api_monthly.csv, -190.246,0.455,-50.049,-6.598,-3.869,-6.371,-2.863,-4.821
REPO Android-Image-Cropper_monthly.csv, -83.529,0.624,-390.583,-19.491,-6.763,-13.364,0.102,-1.797
REPO android-oss_monthly.csv, -0.115,0.218,0.605,0.527,0.873,0.669,0.747,0.683
REPO Android-Plugin-Framework_monthly.csv, 0.955,-0.483,0.693,-0.32,0.865,0.701,0.934,0.934
REPO Android-SpinKit_monthly.csv, -56.886,0.869,-15.395,0.12,-0.06,-0.22,0.051,0.051
REPO android-youtube-player_monthly.csv, -26.714,0.608,-28.79,-1.279,-1.199,-4.403,-0.227,-0.227
REPO AndroidPicker_monthly.csv, -6.064,0.589,-27.775,-10.868,-5.42,-5.214,-0.929,0.518
REPO AndroidTagView_monthly.csv, -1.313,0.599,-21.221,0.156,0.781,0.572,0.572,0.572
REPO androidtool-mac_monthly.csv, 0.285,0.304,-3.116,-14.136,0.41,-4.39,0.444,0.991
REPO AndroidTVLauncher_monthly.csv, 0.95,0.709,0.876,0.938,0.913,0.236,0.989,0.945
REPO AndroidVideoCache_monthly.csv, -53.868,0.713,-180.604,-38.672,-29.942,-44.658,-28.995,-28.995
REPO angr_monthly.csv, -3.582,0.435,-0.455,-1.043,-0.522,0.705,0.357,0.228
REPO angular-calendar_monthly.csv, -0.618,0.625,-13.162,-2.322,-11.426,-2.05,0.416,-1.459
REPO angular-seed-advanced_monthly.csv, -7.002,0.63,-499.532,-5.012,-4.988,-8.969,-4.442,-4.442
REPO angular_monthly.csv, -68.738,-3.733,-51.629,-17.296,-9.81,-6.693,-8.387,-8.387
REPO Animations_monthly.csv, -6.788,-2.908,-2.571,0.741,0.616,0.544,0.774,0.902
REPO ann-benchmarks_monthly.csv, 0.072,0.819,-331.287,0.351,0.834,0.902,0.856,0.856
REPO ant-design-mobile_monthly.csv, -0.172,0.065,-0.464,-1.327,0.397,0.172,0.094,0.121
REPO ant-motion_monthly.csv, 0.529,0.371,-9.368,-1.96,-9.738,-7.077,-0.637,-0.902
REPO antd-admin_monthly.csv, -5.054,0.083,0.961,0.308,-1.147,0.195,0.792,0.897
REPO Anti-Anti-Spider_monthly.csv, -40.259,0.874,-911.456,-145.982,-2.988,-2.129,-7.655,-3.64
REPO anyRTC-RTMP-OpenSource_monthly.csv, -1.871,0.582,-2.211,0.978,0.699,-0.882,0.881,0.881
REPO apiato_monthly.csv, -2.319,0.497,-0.661,-1.45,0.988,-2.566,-0.338,-0.543
REPO apify-js_monthly.csv, -1.925,0.132,0.719,-23.651,-5.472,-16.463,0.957,0.957
REPO APIJSON_monthly.csv, 0.178,0.954,-0.596,0.673,0.136,0.362,0.969,0.999
REPO ApiManager_monthly.csv, 0.932,0.877,-1.222,0.562,0.663,0.701,0.933,0.966
REPO api_monthly.csv, 0.925,0.416,0.489,0.63,0.876,0.139,0.972,0.972
REPO APlayer_monthly.csv, 0.587,0.302,0.23,-0.098,0.247,0.312,0.908,0.267
REPO apollo-android_monthly.csv, -221.0,-0.796,-244.388,-0.59,-29.168,-221.0,-1.027,0.665
REPO apollo-angular_monthly.csv, -1.663,-1.512,-12.22,-85.0,-17.143,-0.929,0.332,0.332
REPO apollo-client_monthly.csv, -95.702,0.99,-6.264,-1.587,-4.276,-1.502,-1.875,-1.927
REPO apollo-ios_monthly.csv, -1.547,-0.715,-5.896,-0.482,-1.393,-1.364,-0.878,-0.878
REPO apollo-server_monthly.csv, -0.358,0.148,-0.775,-0.28,-0.226,-0.187,-0.167,-0.167
REPO apollo-tooling_monthly.csv, -3.263,0.596,-5.005,0.613,-0.142,0.741,0.746,0.77
REPO apollo-universal-starter-kit_monthly.csv, 0.645,0.855,-0.537,0.652,0.608,0.514,0.842,0.842
REPO apollo_monthly.csv, 0.759,-0.491,0.907,0.917,0.828,0.88,0.898,0.99
REPO AppIntro_monthly.csv, -1.434,0.546,-0.769,0.408,0.127,0.007,0.527,0.527
REPO appium-desktop_monthly.csv, -0.291,-0.158,-0.945,-0.213,-0.143,-0.11,-0.11,-0.13
REPO AppleALC_monthly.csv, 0.515,0.702,-10.311,0.614,0.498,0.163,0.887,0.95
REPO AppMetrics_monthly.csv, -5.795,-0.133,-5.583,-2.73,-0.56,0.764,1.0,1.0
REPO apprtc_monthly.csv, -14.698,-1.932,-33423.607,-15.505,-13.013,-12.351,-16.077,-12.223
REPO aquarelle_monthly.csv, 0.676,-0.129,0.779,-12.077,-0.495,0.886,0.804,0.804
REPO aqueduct_monthly.csv, 0.849,0.502,-5.583,0.623,0.678,0.623,0.902,0.902
REPO arcade_monthly.csv, 0.332,-0.038,-2.25,0.667,0.672,1.0,0.648,0.67
REPO arcgis-python-api_monthly.csv, 0.953,0.478,-1.623,0.587,0.925,0.562,0.918,0.918
REPO ArchiSteamFarm_monthly.csv, 0.626,-13.425,-25.672,0.783,0.82,0.891,0.943,0.947
REPO ArcLayout_monthly.csv, 0.11,0.015,0.103,-0.011,0.067,0.122,0.115,0.126
REPO arduino-esp32_monthly.csv, 0.562,-0.059,0.805,0.318,0.647,-0.495,0.776,0.82
REPO Aria_monthly.csv, 0.467,0.185,0.296,0.756,0.458,0.913,0.889,0.913
REPO armeria_monthly.csv, 0.68,-0.789,0.426,-11.0,-1.716,-50.0,0.819,0.976
REPO armory_monthly.csv, 0.144,0.05,-12.823,0.135,0.075,0.329,0.258,0.372
REPO armor_monthly.csv, -0.429,0.101,-0.419,0.157,0.042,0.054,0.034,0.053
REPO artillery_monthly.csv, -4.716,-2.763,-22.783,-7.408,-8.092,-9.295,-13.805,-13.805
REPO asm-dude_monthly.csv, 0.144,-0.024,0.14,0.191,0.203,0.191,0.191,0.191
REPO AssetStudio_monthly.csv, -1.029,-0.099,-0.983,0.71,0.715,0.756,0.707,0.594
REPO astral_monthly.csv, -0.334,-0.229,0.502,0.746,-1.303,-2.745,-0.439,-0.154
REPO athenapdf_monthly.csv, -6.208,0.787,-5.593,0.698,0.624,0.217,0.735,0.735
REPO athenz_monthly.csv, -3.349,-1.312,-2.069,-5.872,-2.82,-0.968,-3.196,-2.314
REPO atlasdb_monthly.csv, 0.039,0.549,0.106,0.834,0.535,0.881,0.729,0.97
REPO AtomicGameEngine_monthly.csv, -45.141,0.578,-57.943,0.416,0.912,0.927,0.927,0.927
REPO audacity_monthly.csv, 0.693,-0.511,-19.316,-23.32,-2.368,-4.806,0.762,0.762
REPO audio-reactive-led-strip_monthly.csv, -26.895,-1.008,-22.436,-14.347,-72.282,-26.895,-1.079,-1.079
REPO aurora-imui_monthly.csv, -12.74,0.468,-5.599,-12.707,0.728,-0.929,0.786,0.92
REPO authelia_monthly.csv, -114.967,-2.06,-28.877,-2.792,-30.209,-26.786,-11.886,-11.886
REPO auto-sklearn_monthly.csv, -2.238,0.849,-34.003,-0.018,-0.328,-0.511,-0.511,-0.122
REPO AutomatedLab_monthly.csv, -0.839,-0.403,0.643,0.313,0.21,0.074,0.827,0.622
REPO autorest_monthly.csv, -2.54,-0.066,-0.824,-1.689,-0.822,-0.966,0.328,0.348
REPO AutoSpotting_monthly.csv, -2.194,-6.241,0.586,-0.803,-0.596,-0.197,0.517,-0.197
REPO autoware_monthly.csv, -4.688,0.453,-44.964,-5.147,-2.981,-2.035,-3.686,-2.57
REPO awesome-cpus_monthly.csv, -11.639,-0.392,-8.037,-13.25,0.716,-6.613,0.38,0.437
REPO awesome-macos-screensavers_monthly.csv, -152.729,-7.894,-983.135,-65.773,-30.187,-15.144,-62.862,-15.144
REPO awesome-threat-intelligence_monthly.csv, -6.047,0.773,-11.679,-4.025,-1.049,-23.508,0.185,-0.568
REPO awless_monthly.csv, -3.74,0.262,-3.067,-4.365,0.685,0.21,0.915,0.915
REPO aws-sdk-cpp_monthly.csv, 0.531,-0.112,0.445,0.338,-41.027,1.0,0.639,0.731
REPO axe-core_monthly.csv, -1.59,-0.213,0.165,-1.407,-0.383,-1.273,0.961,0.961
REPO Axelrod_monthly.csv, -0.481,0.321,-2.223,-189.0,0.661,0.575,0.377,0.902
REPO azerothcore-wotlk_monthly.csv, 0.583,0.697,-2.201,-3.739,-0.359,-3.037,1.0,0.451
REPO AztecEditor-Android_monthly.csv, 0.154,-0.342,0.999,0.286,-0.518,-0.667,0.695,0.695
REPO AzuraCast_monthly.csv, 0.204,-0.165,-14.516,-0.186,-0.48,0.011,0.994,0.994
REPO azure-cli_monthly.csv, 0.355,-35.111,-20.766,0.888,0.735,0.726,0.848,0.934
REPO azure-functions-host_monthly.csv, 0.761,0.235,0.609,0.752,0.681,0.858,0.967,0.967
REPO backdoor-apk_monthly.csv, -11.182,0.565,-67.112,-1.465,-0.432,-0.276,-0.276,-3.549
REPO backtrader_monthly.csv, -15.261,0.496,-111.071,-23.404,-14.507,-12.351,-15.202,-10.484
REPO balena-engine_monthly.csv, -0.212,0.757,-1.036,0.684,-2.874,-6.515,0.391,0.391
REPO barba_monthly.csv, -3.741,0.949,0.732,0.773,0.783,0.959,0.973,0.881
REPO BasePopup_monthly.csv, -2.096,0.825,1.0,-0.186,-0.581,0.884,0.942,0.688
REPO BaseRecyclerViewAdapterHelper_monthly.csv, 0.435,0.81,-1.794,0.138,0.338,0.17,0.596,0.607
REPO batavia_monthly.csv, -0.228,0.384,-0.397,-0.437,-0.307,-0.277,0.23,-0.228
REPO bcc_monthly.csv, 0.054,-0.105,-0.832,0.139,0.064,0.081,0.279,0.279
REPO beaker_monthly.csv, 0.544,0.829,-2.447,0.716,0.905,0.965,0.773,0.773
REPO belle_monthly.csv, -7.84,-12.837,-10.041,-8.928,-3.852,-25.95,-7.866,-6.895
REPO Benchmarks_monthly.csv, -1.025,0.601,-0.098,-2.266,-6.329,0.281,0.745,0.745
REPO benthos_monthly.csv, -0.031,0.145,0.626,-0.515,0.893,0.652,0.939,0.983
REPO best-practices-badge_monthly.csv, -0.992,-0.956,-0.911,-0.732,-2.786,0.894,0.4,0.849
REPO betaflight-configurator_monthly.csv, -1.412,-0.334,-7.989,-7.2,-0.597,-1.176,0.637,0.514
REPO better-sqlite3_monthly.csv, -185.321,0.393,-5.396,-3.298,-1.009,0.759,0.934,0.934
REPO BezierInfo-2_monthly.csv, 0.628,0.169,-3.663,0.399,-2.29,-2.583,0.726,0.863
REPO bigchaindb_monthly.csv, 0.659,0.797,-0.537,0.629,0.627,0.153,0.792,0.792
REPO BigDL_monthly.csv, 0.684,0.569,0.311,0.743,0.777,0.674,0.968,0.916
REPO BigImageViewer_monthly.csv, 0.406,0.768,0.654,0.62,-14.782,-0.606,0.612,0.589
REPO bilibili-mac-client_monthly.csv, -15.45,0.563,-34.897,-4.717,-4.38,-0.144,-3.152,-3.152
REPO binaryen_monthly.csv, -4.112,-0.634,-0.681,-4.542,-19.415,-1.233,0.708,0.436
REPO binctr_monthly.csv, 0.016,0.53,-2.641,0.856,-0.367,-0.631,0.785,0.765
REPO Binding.scala_monthly.csv, 0.693,0.513,0.025,0.533,0.909,0.876,0.645,0.686
REPO binnavi_monthly.csv, 0.113,-0.848,0.11,0.178,0.449,0.625,0.823,0.823
REPO bitcoin-on-nodejs_monthly.csv, -5.61,0.732,-2.381,-0.971,-4.227,-5.132,0.987,0.987
REPO BizHawk_monthly.csv, -5.0,-8.934,-3.579,-0.5,-0.776,-0.5,0.912,0.652
REPO bk-cmdb_monthly.csv, 0.768,0.227,-1.904,-62.0,0.79,0.745,0.92,0.92
REPO blink_monthly.csv, -3.437,-1.632,-3.632,-4.673,-2.626,-2.09,0.446,-2.238
REPO blokada_monthly.csv, -0.977,-0.307,-23.753,-1.134,-0.66,-0.712,-0.747,-0.747
REPO BloodHound_monthly.csv, 0.293,0.143,-1.23,-4.353,0.136,0.138,0.457,0.457
REPO Blotter_monthly.csv, 0.736,0.027,-3.398,0.37,0.156,-0.47,0.881,0.881
REPO bludit_monthly.csv, -0.811,-0.406,-1.924,-1.157,0.299,0.532,0.937,0.592
REPO blueprint_monthly.csv, 0.383,0.818,0.151,0.604,0.525,0.019,0.621,0.46
REPO BlurView_monthly.csv, -1.932,0.133,-1.046,-25.118,0.495,0.71,0.861,0.382
REPO blynk-server_monthly.csv, -0.503,-0.694,-1.77,-0.379,-0.345,-0.728,-0.193,-0.335
REPO BMPlayer_monthly.csv, -0.077,-0.112,-0.077,-0.051,-0.053,-0.044,0.057,0.035
REPO board_monthly.csv, -2.786,-0.771,-0.964,-0.427,-0.597,-0.462,-0.406,-0.329
REPO boinc_monthly.csv, -2.54,-1.501,-39.306,-2.753,-2.707,-1.85,-0.38,-0.38
REPO boofuzz_monthly.csv, -3.494,-1.031,-3.918,-17.759,0.359,0.897,0.948,0.948
REPO bookdown_monthly.csv, 0.712,-0.015,-1.493,0.491,0.822,0.669,0.923,0.923
REPO BookStack_monthly.csv, 0.543,0.643,-15.085,0.685,0.527,0.037,0.909,0.909
REPO BoostNote.next_monthly.csv, -16.079,0.273,-62.927,-2.177,-3.339,-2.177,-2.177,-2.177
REPO bootkube_monthly.csv, 0.822,0.449,0.087,0.724,0.522,0.607,0.899,0.978
REPO bootstrap-material-design_monthly.csv, -27.594,-2.755,-3.996,-0.39,-0.991,-4.28,0.973,0.973
REPO bootstrap-vue_monthly.csv, -5.629,0.432,-5.155,-3.108,-0.278,-7.552,0.444,-2.255
REPO borg_monthly.csv, -1.081,0.265,-2.519,-0.953,-0.73,-1.776,-0.777,1.0
REPO BotFramework-Emulator_monthly.csv, -3.0,-0.488,-9.81,-1.615,-0.621,-1.4,-2.8,-0.568
