Project0001,0.207,-1.421,-3.7489999999999997,0.048,0.055,0.036000000000000004,0.273,0.235
Project0002,0.63,-0.541,-0.322,1.0,0.6809999999999999,1.0,1.0,1.0
Project0003,-0.955,0.8140000000000001,0.768,1.0,1.0,1.0,1.0,1.0
Project0004,1.0,0.825,0.18100000000000002,1.0,0.85,1.0,1.0,1.0
Project0005,0.848,0.983,0.899,0.7509999999999999,0.513,1.0,0.93,0.93
Project0006,0.769,0.402,0.6459999999999999,0.667,0.691,0.4,0.7170000000000001,1.0
Project0007,1.0,0.5920000000000001,-10.142999999999999,0.358,0.292,0.271,0.665,0.665
Project0008,-1.077,-2.231,-7.985,-8.0,-2.841,-4.4,0.609,0.733
Project0009,-1.9469999999999998,1.0,-8.408999999999999,-8.25,0.483,-4.2860000000000005,0.565,0.565
Project0010,-1.188,-1.905,-1.2309999999999999,-2.622,-1.1320000000000001,-1.005,0.496,-0.377
Project0011,0.136,0.988,-1.7530000000000001,-3.056,0.001,-49.286,0.7040000000000001,0.5670000000000001
Project0012,-188.0,0.674,-2.51,-0.235,0.526,1.0,1.0,0.41700000000000004
Project0013,-0.091,-0.009000000000000001,0.046,-0.022000000000000002,-0.009000000000000001,0.048,0.034,0.034
Project0014,0.514,0.59,0.9490000000000001,0.5589999999999999,0.5770000000000001,0.629,0.7979999999999999,0.7979999999999999
Project0015,0.039,0.7879999999999999,-1.145,0.8740000000000001,0.998,0.8740000000000001,0.9670000000000001,0.9690000000000001
Project0016,-0.064,0.932,-14.677,0.747,0.799,0.787,0.961,0.965
Project0017,0.49,0.975,-2.67,0.028999999999999998,0.243,0.732,0.807,0.601
Project0018,0.098,-0.374,0.135,0.084,0.193,0.095,0.207,0.742
Project0019,0.915,-2.089,0.767,-2.31,-66.17399999999999,-1.048,0.32,0.539
Project0020,-2.286,0.5720000000000001,0.057,-4.75,0.727,1.0,1.0,1.0
Project0021,-0.12300000000000001,-0.08,-0.184,-0.281,0.48100000000000004,-1.216,0.059000000000000004,0.048
Project0022,-1.207,0.9009999999999999,-7.645,0.568,0.752,0.467,0.674,0.765
Project0023,1.0,-11.527999999999999,-0.156,1.0,0.8690000000000001,1.0,1.0,1.0
Project0024,1.0,0.932,0.22,1.0,0.5329999999999999,1.0,1.0,1.0
Project0025,-2.205,0.9590000000000001,-10.825,1.0,0.991,1.0,0.9209999999999999,1.0
Project0026,1.0,1.0,-0.281,1.0,-0.249,-0.095,1.0,1.0
Project0027,-5.42,0.675,-34.446,-3.6830000000000003,-1.824,-2.396,-2.396,-5.42
Project0028,-7.7,-4.735,-17.124000000000002,-1.185,-5.89,-5.105,-1.207,-0.696
Project0029,1.0,0.716,0.073,1.0,0.529,1.0,1.0,1.0
Project0030,1.0,-0.529,-11.257,1.0,0.382,1.0,1.0,1.0
Project0031,-5.75,-1.805,-4.317,-1.172,-6.372999999999999,-6.364,-3.407,-5.75
Project0032,1.0,0.971,0.23600000000000002,1.0,1.0,1.0,1.0,1.0
Project0033,-80.0,-0.28600000000000003,-2.438,-14.0,-4.782,-8.0,0.182,0.182
Project0034,-12.286,-0.909,-12.527000000000001,0.659,0.124,1.0,0.76,0.76
Project0035,1.0,0.643,0.33899999999999997,1.0,1.0,1.0,1.0,1.0
Project0036,0.625,0.03,-1.4180000000000001,0.25,0.188,0.25,0.14300000000000002,0.14300000000000002
Project0037,-1.341,0.6859999999999999,-24.524,0.701,0.598,0.754,1.0,1.0
Project0038,0.44,0.49700000000000005,0.695,0.32,0.385,0.32,0.838,0.8640000000000001
Project0039,0.226,-1.0490000000000002,-6.94,0.565,0.8390000000000001,0.846,0.846,-5.5
Project0040,0.205,0.74,-1.097,0.5920000000000001,0.406,0.23,0.166,0.166
Project0041,1.0,1.0,-0.41100000000000003,1.0,0.9990000000000001,1.0,1.0,1.0
Project0042,-1.3,0.316,-0.292,-6.187,0.8340000000000001,-1.3,1.0,0.5720000000000001
Project0043,0.276,0.23600000000000002,0.845,0.23800000000000002,0.23800000000000002,0.23800000000000002,0.37799999999999995,0.37799999999999995
Project0044,-16.570999999999998,0.878,-96.80799999999999,-15.333,-11.839,-11.0,-11.0,-11.0
Project0045,1.0,0.6509999999999999,0.57,1.0,0.703,1.0,1.0,0.925
Project0046,1.0,1.0,-0.273,1.0,0.9990000000000001,1.0,1.0,1.0
Project0047,0.359,0.723,0.975,0.574,0.998,1.0,1.0,1.0
Project0048,-10.0,0.63,-7.595,0.5,-7.975,0.5,0.693,0.408
Project0049,-77.857,-0.516,-133.769,-12.217,-10.341,-19.8,-6.385,-13.571
Project0050,1.0,1.0,-10.587,1.0,1.0,1.0,1.0,1.0
Project0051,1.0,0.72,0.9490000000000001,1.0,0.991,1.0,0.77,1.0
Project0052,-11.25,-169.97400000000002,-5.468999999999999,-27.0,0.8240000000000001,1.0,0.659,0.743
Project0053,-10.113,-0.01,-39.236,-35.105,-2.457,-2.434,-3.2689999999999997,-1.77
Project0054,0.812,0.8959999999999999,-8.804,0.516,0.767,0.534,0.89,1.0
Project0055,-1.102,-0.9,-4.1419999999999995,-1.2819999999999998,-3.008,-0.52,-0.466,-0.42700000000000005
Project0056,-14.364,-3.208,-620.307,0.272,0.875,0.629,0.858,0.6829999999999999
Project0057,-3.072,0.853,-23.92,-1.141,-0.526,-2.884,-0.579,0.22899999999999998
Project0058,0.038,0.036000000000000004,-0.7190000000000001,0.084,0.075,0.10400000000000001,0.19699999999999998,0.19699999999999998
Project0059,0.5,0.583,-1.344,0.893,-1.183,-2.3209999999999997,0.565,0.366
