REPO abp_monthly.csv, -1.061,0.69,-16.28,-0.137,0.407,0.634,0.049,0.549
REPO ABTestingGateway_monthly.csv, -6.135,0.947,-12.222,0.219,0.591,0.719,-3.299,0.719
REPO acat_monthly.csv, -0.598,-1.278,0.961,1.0,0.983,1.0,1.0,1.0
REPO adempiere_monthly.csv, 0.858,0.997,-0.104,0.265,0.675,0.487,0.956,0.823
REPO AdguardBrowserExtension_monthly.csv, -0.385,0.782,-1.936,0.251,0.299,-2.581,0.531,0.17
REPO adminlte-laravel_monthly.csv, 0.235,0.356,0.465,1.0,0.828,0.8,0.955,0.958
REPO Aerial_monthly.csv, 0.278,-0.293,0.219,-0.11,-0.335,0.258,0.3,0.106
REPO ai-chatbot-framework_monthly.csv, -4.855,0.826,-0.799,1.0,0.992,1.0,0.876,1.0
REPO airgeddon_monthly.csv, -0.286,0.313,-2.467,0.417,0.12,-0.518,-0.009,0.328
REPO akka-http_monthly.csv, -0.387,-0.59,-2.639,0.67,-4.67,-0.245,0.616,0.97
REPO ale_monthly.csv, 0.37,-3.241,-13.904,0.813,0.744,0.653,0.875,0.875
REPO Algorithms_monthly.csv, -80.0,0.667,-2.311,-2.0,0.71,-0.286,0.182,0.182
REPO aliyun-openapi-java-sdk_monthly.csv, 0.117,0.102,0.369,-0.314,-0.806,-0.19,0.161,0.258
REPO all-contributors_monthly.csv, 0.93,0.925,-0.088,0.695,0.633,0.753,0.867,0.924
REPO allure2_monthly.csv, 0.846,0.829,-0.598,-1.202,-55.038,-5.418,0.548,0.448
REPO alpakka_monthly.csv, 0.152,0.937,-12.232,0.944,0.845,0.963,0.704,0.936
REPO alphalens_monthly.csv, 0.288,0.375,0.873,0.579,-0.482,-1.667,0.647,1.0
REPO altair_monthly.csv, -2.52,0.91,-2.183,-4.388,0.961,-9.227,0.444,0.345
REPO amazon-dsstne_monthly.csv, 0.167,0.147,0.215,0.153,0.172,0.167,0.294,0.294
REPO ambar_monthly.csv, -1.166,-3.401,-96.34,0.469,0.969,1.0,1.0,0.956
REPO amethyst_monthly.csv, 0.319,0.053,0.883,0.36,0.25,0.224,0.658,0.658
REPO Ammonite_monthly.csv, 0.938,-0.625,0.02,-8.737,-3.615,-6.138,0.936,0.147
REPO amp-wp_monthly.csv, 0.801,0.416,-4.264,0.597,0.633,0.087,0.816,0.681
REPO analyze_monthly.csv, 1.0,1.0,0.47,1.0,1.0,1.0,1.0,1.0
REPO android-classyshark_monthly.csv, -0.593,0.91,-1.182,-0.807,-0.662,-0.424,0.861,0.861
REPO android-hidden-api_monthly.csv, 0.699,-0.037,0.071,1.0,0.385,0.237,1.0,0.788
REPO Android-Image-Cropper_monthly.csv, 0.247,-0.035,-1.974,0.149,0.188,0.13,0.242,0.127
REPO android-oss_monthly.csv, -1.631,-1.739,-6.518,-1.765,-1.973,-1.631,-1.919,-1.679
REPO Android-Plugin-Framework_monthly.csv, -0.351,0.708,0.953,1.0,0.515,1.0,0.872,0.886
REPO Android-SpinKit_monthly.csv, -1.919,-0.888,-2.928,-4.143,-1.568,1.0,1.0,1.0
REPO android-youtube-player_monthly.csv, -8.334,0.522,-36.918,-2.394,-1.485,-0.18,-0.18,-0.734
REPO AndroidPicker_monthly.csv, -0.357,-0.035,-0.032,-0.027,-0.02,-0.027,0.04,-0.019
REPO AndroidTagView_monthly.csv, -65.0,0.83,-1.424,-1.64,-5.631,0.431,0.892,0.779
REPO androidtool-mac_monthly.csv, 0.147,-0.149,0.269,0.373,0.535,1.0,0.073,1.0
REPO AndroidTVLauncher_monthly.csv, -5.741,-25.018,-3.289,0.571,-8.398,-8.333,1.0,1.0
REPO AndroidVideoCache_monthly.csv, -4.211,0.376,-5.278,0.406,0.169,0.15,0.964,0.921
REPO angr_monthly.csv, 0.712,0.642,-2.845,0.56,0.489,0.423,0.564,0.778
REPO angular-calendar_monthly.csv, -0.616,-1.789,-1.244,0.714,-1.525,-7.0,0.868,0.987
REPO angular-seed-advanced_monthly.csv, 0.18,-1.374,-56.889,-0.083,-0.774,-25.182,0.035,0.035
REPO angular_monthly.csv, -0.424,0.707,-2.084,-3.15,-1.874,-13.571,0.519,0.312
REPO Animations_monthly.csv, -0.097,-4.799,-1.318,1.0,0.641,1.0,1.0,1.0
REPO ann-benchmarks_monthly.csv, -1.364,-0.276,-3.727,0.458,-0.043,0.74,1.0,0.96
REPO ant-design-mobile_monthly.csv, 0.839,0.975,-3.081,0.985,0.96,0.942,0.985,0.985
REPO ant-motion_monthly.csv, -2.032,0.448,-22.067,-1.571,0.403,0.529,0.529,-0.273
REPO antd-admin_monthly.csv, 0.433,0.664,-0.743,0.925,0.984,0.734,0.942,0.977
REPO Anti-Anti-Spider_monthly.csv, -5.857,0.205,-5.252,-1.667,0.622,1.0,1.0,0.55
REPO anyRTC-RTMP-OpenSource_monthly.csv, -0.685,0.101,-2.143,-0.828,-1.165,-1.121,0.62,0.088
REPO apiato_monthly.csv, -0.246,-3.967,-329.718,-36.391,-6.206,-0.607,0.899,-0.835
