REPO abp_monthly.csv, -0.716,0.696,-9.793,0.228,0.287,-0.118,0.356,0.425
REPO ABTestingGateway_monthly.csv, -8.0,0.686,-13.391,0.719,0.606,0.719,0.719,0.719
REPO acat_monthly.csv, -0.545,-1.109,0.971,1.0,0.989,1.0,1.0,1.0
REPO adempiere_monthly.csv, 0.76,0.987,-0.006,0.677,0.94,0.787,0.949,0.671
REPO AdguardBrowserExtension_monthly.csv, 0.073,0.797,-1.911,0.331,0.41,0.331,0.851,0.197
REPO adminlte-laravel_monthly.csv, 0.147,0.381,0.402,0.944,0.887,0.785,0.948,0.948
REPO Aerial_monthly.csv, 0.064,-0.658,0.12,0.126,-0.092,-0.058,-0.018,0.806
REPO ai-chatbot-framework_monthly.csv, -27.286,0.831,-1.376,0.872,0.988,1.0,1.0,1.0
REPO airgeddon_monthly.csv, -1.088,0.219,-2.387,-0.595,0.265,-0.05,0.306,0.441
REPO akka-http_monthly.csv, -1.27,-1.268,-7.121,0.573,0.881,-0.474,0.821,0.821
REPO ale_monthly.csv, 0.979,-2.375,-9.607,0.444,0.644,0.867,0.912,1.0
REPO Algorithms_monthly.csv, -1.8,0.672,-2.208,0.412,0.687,1.0,0.2,0.2
REPO aliyun-openapi-java-sdk_monthly.csv, 0.077,0.061,0.327,0.102,-0.33,1.0,0.112,0.469
REPO all-contributors_monthly.csv, 0.208,0.8,-0.356,0.613,0.764,0.76,1.0,0.901
REPO allure2_monthly.csv, 0.834,0.855,-0.74,0.097,-11.63,-4.86,-0.503,0.447
REPO alpakka_monthly.csv, 0.377,0.901,-16.872,0.975,0.992,0.962,0.915,0.934
REPO alphalens_monthly.csv, 0.189,0.288,0.654,0.372,-0.34,-3.778,0.513,1.0
REPO altair_monthly.csv, -1.13,0.979,-1.178,0.458,0.696,0.328,0.969,0.969
REPO amazon-dsstne_monthly.csv, 0.085,0.075,0.117,1.0,0.084,0.085,0.145,0.116
REPO ambar_monthly.csv, -1.503,-2.86,-217.157,0.951,0.97,1.0,0.96,0.96
REPO amethyst_monthly.csv, 0.331,0.079,0.602,0.433,0.218,0.337,0.897,0.897
REPO Ammonite_monthly.csv, 0.931,-1.109,-0.074,0.527,-3.816,-25.143,0.971,0.534
REPO amp-wp_monthly.csv, 0.773,0.317,-3.013,0.558,0.567,0.625,0.764,0.639
REPO analyze_monthly.csv, 1.0,1.0,0.431,1.0,1.0,1.0,1.0,1.0
REPO android-classyshark_monthly.csv, -0.472,0.948,-0.933,-0.345,-0.489,-0.345,0.665,0.931
REPO android-hidden-api_monthly.csv, 0.708,-0.048,-0.804,0.492,0.303,0.244,0.926,0.604
REPO Android-Image-Cropper_monthly.csv, 0.275,-0.045,-4.305,0.476,0.222,0.232,0.232,0.232
REPO android-oss_monthly.csv, -1.573,-1.618,-5.602,-2.017,-1.778,-3.302,-1.504,-1.738
REPO Android-Plugin-Framework_monthly.csv, -0.554,0.703,0.951,-0.029,0.196,-2.176,1.0,0.922
REPO Android-SpinKit_monthly.csv, -2.545,-1.227,-2.791,-3.333,-9.37,1.0,0.838,1.0
REPO android-youtube-player_monthly.csv, -8.781,0.531,-29.017,-1.146,-1.692,-1.75,-5.459,-0.774
REPO AndroidPicker_monthly.csv, -9.25,-0.098,-0.139,-0.079,-0.096,-0.123,-0.09,-0.088
REPO AndroidTagView_monthly.csv, -55.0,0.746,-1.313,-11.0,-3.964,0.429,-0.2,0.778
REPO androidtool-mac_monthly.csv, 0.17,-0.245,0.401,0.075,0.598,1.0,0.519,1.0
REPO AndroidTVLauncher_monthly.csv, -6.8,-41.415,-3.655,-6.5,-6.548,-6.5,0.784,1.0
REPO AndroidVideoCache_monthly.csv, -6.579,0.347,-8.55,0.424,0.195,0.159,0.967,0.926
REPO angr_monthly.csv, 0.973,0.54,-3.907,0.505,0.669,0.309,0.548,0.615
REPO angular-calendar_monthly.csv, -0.765,-1.886,-1.573,-23.571,0.776,-2.583,0.858,0.858
REPO angular-seed-advanced_monthly.csv, 0.333,-1.059,-11.629,0.2,-0.501,-3.0,0.387,0.387
REPO angular_monthly.csv, 0.238,0.701,-1.992,-2.674,-2.778,-94.143,-0.972,-1.087
REPO Animations_monthly.csv, -0.121,-0.855,-4.409,1.0,0.626,1.0,1.0,1.0
REPO ann-benchmarks_monthly.csv, -1.391,0.824,-4.222,-0.425,0.491,0.586,0.96,0.96
REPO ant-design-mobile_monthly.csv, 0.827,0.9,-1.333,0.978,0.997,0.937,0.979,0.974
REPO ant-motion_monthly.csv, -1.317,0.719,-15.096,-4.225,0.364,0.519,-3.24,0.316
REPO antd-admin_monthly.csv, 0.577,0.726,0.054,0.893,0.956,0.709,0.975,1.0
REPO Anti-Anti-Spider_monthly.csv, -2.375,0.221,-2.401,0.438,0.461,1.0,1.0,0.58
REPO anyRTC-RTMP-OpenSource_monthly.csv, -0.871,-0.227,-3.589,-1.533,-1.592,-0.676,0.548,0.388
REPO apiato_monthly.csv, -0.736,-2.668,-6.929,-1.55,-3.821,-4.279,0.671,-0.64
REPO apify-js_monthly.csv, 0.807,0.371,-5.809,0.962,-0.629,-2.208,0.503,0.91
REPO APIJSON_monthly.csv, 0.261,0.685,-0.457,0.866,0.934,1.0,1.0,1.0
REPO ApiManager_monthly.csv, 0.578,0.596,0.943,1.0,0.985,1.0,1.0,1.0
REPO api_monthly.csv, 0.531,0.877,-0.345,1.0,0.949,0.911,0.888,0.868
REPO APlayer_monthly.csv, 0.969,0.939,-2.394,-0.353,0.491,-3.714,0.892,0.892
