n12g0m0.txt
75%,0.682,0.792,0.026,0.805,0.846,0.841,0.962,0.961
median,0.038,0.442,-1.859,0.367,0.471,0.435,0.841,0.839
std,47.783,13.603,1129.475,17.073,18.364,11.963,1.838,2.923
iqr,2.433,0.903,8.458,1.425,1.217,1.362,0.543,0.584
win,433,643,188,583,644,626,1173,1178
n1g0m0.txt
25%,0.292,0.482,0.344,0.259,0.263,0.222,0.042,0.053
75%,2.3,4.799,2.577,2.667,2.385,2.0,0.598,0.705
median,0.75,1.387,0.792,0.721,0.741,0.667,0.165,0.2
std,6.712,25.417,8.563,9.283,9.455,10.546,2.949,4.258
iqr,2.008,4.317,2.233,2.408,2.122,1.778,0.556,0.652
win,696,487,649,713,702,782,1343,1281
n1g0m1.txt
25%,-1.137,-0.42,-2.483,-0.839,-0.671,-0.494,0.352,0.352
75%,0.781,0.674,0.507,0.818,0.824,0.877,0.952,0.965
median,0.232,0.203,-0.283,0.162,0.25,0.353,0.811,0.851
std,29.844,8.306,49.674,43.057,19.14,29.857,1.051,0.649
iqr,1.918,1.094,2.99,1.657,1.495,1.372,0.6,0.613
win,462,399,275,514,515,599,1085,1147
n1g1m0.txt
25%,0.152,0.181,0.158,0.083,0.082,0.0,0.0,0.0
75%,0.7,0.967,0.69,0.6,0.546,0.617,0.172,0.25
median,0.333,0.437,0.352,0.333,0.249,0.25,0.045,0.062
std,0.884,3.605,1.711,1.008,1.189,1.071,0.418,0.513
iqr,0.548,0.786,0.532,0.517,0.464,0.617,0.172,0.25
win,542,483,525,719,734,777,1422,1282
n1g1m1.txt
25%,-1.312,-0.812,-2.433,-0.648,-0.498,-0.385,0.356,0.375
75%,0.609,0.575,0.387,0.854,0.827,1.0,1.0,1.0
median,0.0,0.078,-0.472,0.347,0.363,0.486,0.81,0.871
std,13.689,72.097,134.923,31.189,17.975,3.984,0.611,0.666
iqr,1.922,1.387,2.82,1.502,1.325,1.385,0.644,0.625
win,330,299,194,548,509,753,1041,1131
n1g2m0.txt
25%,0.211,0.212,0.245,0.206,0.197,0.218,0.027,0.044
75%,0.774,0.994,0.829,0.76,0.728,0.771,0.334,0.42
median,0.455,0.471,0.518,0.441,0.424,0.463,0.106,0.151
std,0.861,2.12,0.882,2.534,1.465,5.424,0.453,0.424
iqr,0.563,0.783,0.584,0.554,0.531,0.552,0.307,0.376
win,755,783,670,793,836,772,1446,1377
n1g2m1.txt
25%,-4.658,-0.498,-12.034,-2.326,-1.912,-1.943,-0.05,-0.02
75%,0.465,0.622,0.066,0.548,0.606,0.597,0.896,0.905
median,-0.536,0.253,-2.248,-0.134,-0.006,-0.016,0.631,0.649
std,207.51,98.464,135.334,460.376,82.349,61.154,9.212,7.597
iqr,5.122,1.12,12.1,2.875,2.519,2.54,0.946,0.925
win,293,534,191,366,385,413,980,1016
n1g3m0.txt
25%,0.1,0.165,0.308,0.034,0.167,0.0,0.0,0.0
75%,0.8,1.0,1.0,0.667,1.0,0.671,0.177,0.278
median,0.4,0.52,0.661,0.312,0.481,0.25,0.041,0.066
std,1.051,1.358,3.46,0.899,0.779,1.049,0.662,0.413
iqr,0.7,0.835,0.692,0.633,0.833,0.671,0.177,0.278
win,690,597,374,835,597,863,1461,1317
n1g3m1.txt
25%,-1.035,-0.04,-3.966,-0.327,-0.194,-0.2,0.544,0.545
75%,0.889,0.889,0.426,0.962,0.938,1.0,1.0,1.0
median,0.358,0.603,-0.689,0.616,0.658,0.697,0.893,0.921
std,17.653,13.784,614.405,23.616,16.047,7.597,1.102,1.398
iqr,1.924,0.929,4.392,1.289,1.133,1.2,0.456,0.455
win,806,1030,417,1011,1053,1084,1410,1404
n1g4m0.txt
25%,0.0,0.647,0.654,0.0,0.592,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.5
median,0.6,1.0,1.0,0.5,1.0,0.0,0.0,0.018
std,0.963,1.564,0.72,1.403,1.016,1.495,0.443,0.532
iqr,1.0,0.353,0.346,1.0,0.408,1.0,0.37,0.5
win,881,478,439,978,469,1073,1489,1407
n1g4m1.txt
25%,-2.165,-0.652,-3.67,-0.81,-0.846,-0.413,0.262,0.27
75%,1.0,0.696,0.297,1.0,0.946,1.0,1.0,1.0
median,0.0,0.16,-0.651,0.32,0.356,0.696,0.919,0.97
std,25.54,18.207,187.328,13.872,117.492,20.768,1.341,1.518
iqr,3.165,1.348,3.967,1.81,1.792,1.412,0.738,0.73
win,536,332,176,670,524,891,1041,1095
n1g5m0.txt
25%,0.495,0.444,0.683,0.425,0.496,0.373,0.102,0.136
75%,0.939,0.957,0.968,0.942,0.965,1.0,0.768,0.816
median,0.766,0.724,0.865,0.738,0.774,0.778,0.494,0.534
std,0.516,6.073,0.369,0.587,0.887,0.582,0.377,0.414
iqr,0.444,0.514,0.285,0.517,0.469,0.627,0.666,0.68
win,1383,1315,1237,1392,1335,1367,1572,1549
n1g5m1.txt
25%,-15.438,-6.828,-30.708,-10.479,-11.147,-9.368,-3.657,-3.665
75%,-0.559,0.019,-2.25,-0.077,0.0,0.255,0.582,0.667
median,-3.984,-1.602,-9.767,-2.489,-2.475,-2.0,-0.79,-0.484
std,122.224,71.319,615.861,68.894,259.69,56.637,10.729,12.805
iqr,14.879,6.847,28.459,10.402,11.147,9.623,4.238,4.332
win,837,1119,502,960,976,1046,1365,1355
n1g6m0.txt
25%,0.173,0.131,0.264,0.125,0.131,0.116,0.017,0.028
75%,0.8,0.905,0.966,0.667,0.635,0.667,0.199,0.288
median,0.4,0.353,0.545,0.326,0.306,0.333,0.069,0.093
std,1.221,11.271,2.015,1.113,1.003,1.219,0.444,0.504
iqr,0.627,0.774,0.702,0.542,0.504,0.551,0.182,0.26
win,606,709,420,761,759,717,1433,1276
n1g6m1.txt
25%,-1.23,-0.07,-6.247,-0.407,-0.165,-0.373,0.471,0.451
75%,0.742,0.851,0.239,0.861,0.862,0.876,0.965,0.968
median,0.179,0.567,-1.212,0.507,0.564,0.506,0.86,0.87
std,18.872,11.366,586.384,14.502,64.278,23.031,1.247,1.338
iqr,1.972,0.92,6.486,1.268,1.028,1.249,0.494,0.517
win,619,871,289,821,879,825,1326,1299
n3g0m0.txt
25%,0.3,0.519,0.338,0.303,0.302,0.25,0.04,0.056
75%,2.45,5.434,2.74,2.921,2.742,2.427,0.611,0.77
median,0.8,1.617,0.808,0.811,0.819,0.709,0.166,0.214
std,7.363,28.336,9.05,11.734,10.197,13.097,3.698,5.188
iqr,2.15,4.915,2.403,2.618,2.441,2.177,0.571,0.714
win,706,486,676,685,680,762,1367,1284
n3g0m1.txt
25%,-1.179,-0.426,-2.471,-0.802,-0.752,-0.525,0.345,0.323
75%,0.768,0.652,0.487,0.787,0.792,0.869,0.95,0.961
median,0.177,0.154,-0.341,0.163,0.21,0.322,0.797,0.835
std,15.711,15.31,82.786,12.162,264.849,14.817,3.44,0.752
iqr,1.947,1.078,2.958,1.589,1.544,1.394,0.605,0.638
win,373,346,244,392,419,533,1021,1064
n3g1m0.txt
25%,0.175,0.209,0.165,0.083,0.084,0.0,0.0,0.0
75%,0.703,1.122,0.721,0.667,0.539,0.667,0.191,0.272
median,0.371,0.497,0.373,0.333,0.27,0.296,0.048,0.075
std,0.965,3.834,1.923,0.978,1.173,1.562,0.471,0.532
iqr,0.528,0.913,0.556,0.584,0.455,0.667,0.191,0.272
win,558,481,581,748,764,799,1441,1276
n3g1m1.txt
25%,-1.275,-0.628,-3.428,-0.734,-0.545,-0.418,0.268,0.284
75%,0.574,0.563,0.298,0.814,0.802,1.0,1.0,1.0
median,-0.041,0.073,-0.635,0.278,0.327,0.474,0.801,0.85
std,15.006,54.025,281.834,6.716,18.68,12.323,0.707,0.743
iqr,1.849,1.192,3.726,1.548,1.347,1.418,0.732,0.716
win,251,253,130,440,399,729,948,1038
n3g2m0.txt
25%,0.22,0.224,0.251,0.203,0.201,0.23,0.029,0.05
75%,0.787,1.138,0.839,0.769,0.773,0.813,0.362,0.443
median,0.466,0.505,0.533,0.444,0.437,0.497,0.11,0.157
std,0.884,5.23,0.935,1.037,1.92,2.429,0.506,0.496
iqr,0.567,0.914,0.588,0.566,0.572,0.583,0.333,0.393
win,781,773,695,839,849,782,1460,1374
n3g2m1.txt
25%,-4.637,-0.424,-12.452,-2.227,-1.902,-2.099,-0.129,-0.102
75%,0.412,0.611,0.014,0.576,0.583,0.56,0.886,0.899
median,-0.582,0.219,-2.311,-0.115,-0.028,-0.04,0.624,0.631
std,474.257,27.05,355.726,82.33,165.111,46.126,10.109,7.927
iqr,5.049,1.035,12.465,2.803,2.484,2.659,1.015,1.001
win,331,596,205,415,408,419,1022,1049
n3g3m0.txt
25%,0.1,0.172,0.319,0.032,0.171,0.0,0.0,0.0
75%,0.825,1.0,1.0,0.667,1.0,0.75,0.222,0.312
median,0.4,0.571,0.682,0.333,0.475,0.286,0.051,0.077
std,1.319,2.026,3.652,0.947,0.971,1.035,0.945,0.589
iqr,0.725,0.828,0.681,0.635,0.829,0.75,0.222,0.312
win,667,608,375,821,622,860,1440,1326
n3g3m1.txt
25%,-1.17,-0.084,-4.362,-0.442,-0.298,-0.294,0.539,0.537
75%,0.876,0.884,0.342,0.96,0.943,1.0,1.0,1.0
median,0.341,0.582,-0.789,0.566,0.637,0.658,0.897,0.912
std,20.324,4.561,97.808,11.724,26.955,12.999,1.437,1.956
iqr,2.046,0.968,4.704,1.402,1.241,1.294,0.461,0.463
win,776,974,381,943,998,1005,1388,1371
n3g4m0.txt
25%,0.0,0.726,0.671,0.0,0.614,0.0,0.0,0.0
75%,1.0,1.106,1.0,1.0,1.0,1.0,0.365,0.529
median,0.65,1.0,1.0,0.5,1.0,0.0,0.0,0.0
std,0.876,1.854,0.765,1.178,1.014,1.265,0.413,0.546
iqr,1.0,0.381,0.329,1.0,0.386,1.0,0.365,0.529
win,886,435,455,946,454,1083,1493,1408
n3g4m1.txt
